"x"
11
57
86
108
243
329
106
60
45
35
18
35
29
11
157
204
335
216
64
46
26
21
20
3
15
29
55
53
137
399
213
115
81
34
161
20
17
78
48
85
177
313
242
112
65
55
19
6
13
9
58
205
161
234
155
120
30
51
42
4
36
7
49
130
392
216
162
53
19
74
79
18
35
14
71
177
235
128
202
72
101
68
55
15
70
23
102
114
225
193
188
84
32
100
25
12
47
72
72
182
310
376
82
61
104
86
26
6
216
22
56
177
310
289
102
79
56
17
7
15
16
56
102
135
241
135
148
52
47
64
50
26
5
30
34
135
240
249
120
69
84
117
110
22
3
2
47
117
204
97
68
86
61
58
96
99
0
18
43
156
542
292
167
44
32
26
53
1
3
9
46
125
509
268
124
179
297
79
150
26
33
10
62
132
122
317
138
123
133
18
149
26
47
12
143
244
139
139
29
31
61
74
42
40
22
54
181
167
251
128
69
73
51
87
7
19
84
147
129
189
461
294
94
101
111
21
15
46
6
36
115
226
202
270
120
60
8
65
3
48
29
1
34
139
304
325
129
55
57
108
53
32
16
68
75
771
322
156
102
59
51
23
46
15
79
55
150
205
121
112
35
40
39
36
7
53
75
39
19
80
227
126
69
46
22
61
77
14
4
44
20
128
130
283
90
71
42
73
23
20
27
2
11
171
383
184
115
47
17
40
98
83
18
99
84
142
218
87
108
90
40
21
50
19
135
69
194
215
288
142
82
116
51
72
42
12
15
51
55
129
169
153
91
82
108
116
88
66
22
27
111
276
509
179
100
78
83
62
19
56
88
42
79
251
126
91
96
171
37
19
24
26
14
10
123
