"x"
7
20
21
15
61
28
23
13
3
2
4
4
2
10
6
26
57
76
23
27
9
2
12
10
12
27
43
37
34
34
27
16
1
0
6
3
14
16
40
47
94
110
32
24
5
6
12
21
2
17
62
113
101
107
45
49
21
14
2
17
3
4
42
99
147
153
49
33
15
23
20
3
2
47
31
85
79
65
92
42
16
29
7
9
17
5
38
216
227
147
55
20
17
18
59
38
11
20
15
76
68
128
121
46
24
9
45
1
16
20
43
30
226
73
63
38
58
24
11
2
9
28
28
70
201
125
42
48
21
18
25
1
1
31
124
74
137
107
77
27
53
14
36
16
12
25
37
41
200
171
78
51
24
11
5
2
15
5
49
84
71
90
62
26
33
13
15
0
14
2
36
157
134
137
63
79
25
22
17
18
21
32
34
123
273
147
85
61
64
16
34
7
1
28
12
80
98
126
100
58
22
29
20
11
39
8
42
150
116
210
90
28
139
36
8
61
5
7
28
102
142
136
56
66
25
14
44
32
3
5
8
68
145
137
98
70
20
26
5
23
9
16
25
117
88
134
81
55
54
50
10
14
19
83
40
75
166
199
100
50
47
38
16
56
33
7
69
96
140
114
115
59
49
34
17
8
33
10
80
150
250
224
80
51
69
25
81
49
24
23
36
267
144
194
59
107
25
45
13
8
52
45
84
108
188
196
79
60
34
12
39
22
12
36
180
113
55
169
84
38
35
11
0
1
5
17
64
88
228
132
99
82
65
25
24
23
23
7
17
107
213
148
143
65
20
7
9
30
16
4
53
123
112
150
132
126
69
47
21
2
7
11
41
137
203
217
95
73
37
43
3
2
2
25
33
84
187
223
98
64
26
32
7
1
18
3
60
150
329
196
95
34
38
9
19
96
13
41
71
65
249
178
99
76
19
13
49
58
1
27
73
176
169
242
72
47
17
49
30
4
2
7
38
134
182
82
51
108
40
18
19
3
0
30
76
84
173
134
88
67
65
26
17
5
6
19
38
20
126
132
163
63
19
1
55
14
17
4
28
58
132
63
103
61
76
19
121
20
14
18
43
82
231
252
59
36
31
30
57
3
11
57
86
108
243
329
106
60
45
35
18
35
29
11
157
204
335
216
64
46
26
21
20
3
15
29
55
53
137
399
213
115
81
34
161
20
17
78
48
85
177
313
242
112
65
55
19
6
13
9
58
205
161
234
155
120
30
51
42
4
36
7
49
130
392
216
162
53
19
74
79
18
35
14
71
177
235
128
202
72
101
68
55
15
70
23
102
114
225
193
188
84
32
100
25
12
47
72
72
182
310
376
82
61
104
86
26
6
216
22
56
177
310
289
102
79
56
17
7
15
16
56
102
135
241
135
148
52
47
64
50
26
5
30
34
135
240
249
120
69
84
117
110
22
3
2
47
117
204
97
68
86
61
58
96
99
0
18
43
156
542
292
167
44
32
26
53
1
3
9
46
125
509
268
124
179
297
79
150
26
33
10
62
132
122
317
138
123
133
18
149
26
47
12
143
244
139
139
29
31
61
74
42
40
22
54
181
167
251
128
69
73
51
87
7
19
84
147
129
189
461
294
94
101
111
21
15
46
6
36
115
226
202
270
120
60
8
65
3
48
29
1
34
139
304
325
129
55
57
108
53
32
16
68
75
771
322
156
102
59
51
23
46
15
79
55
150
205
121
112
35
40
39
36
7
53
75
39
19
80
227
126
69
46
22
61
77
14
4
44
20
128
130
283
90
71
42
73
23
20
27
2
11
171
383
184
115
47
17
40
98
83
18
99
84
142
218
87
108
90
40
21
50
19
135
69
194
215
288
142
82
116
51
72
42
12
15
51
55
129
169
153
91
82
108
116
88
66
22
27
111
276
509
179
100
78
83
62
19
56
88
42
79
251
126
91
96
171
37
19
24
26
14
10
123
